CO2e_emissions_per_capita.2019,HDI.2017,HDI.2021,_id,access_to_electricity.2020,control_of_corruption.2017,control_of_corruption.2021,economic_growth.2018,economic_growth.2021,education_gdp.2018,education_gdp.2021,electricity_from_renewables.2015,electricity_from_renewables.2020,gii.2022,gini,government_effectiveness.2017,government_effectiveness.2021,government_gdp.2018,government_integrity.2018,government_integrity.2022,happy_planet_index.2016,happy_planet_index.2019,health_expenditure_per_person.2019,health_gdp.2017,health_gdp.2018,health_gdp.2019,infant_mortality.2020,iso_3,military_gdp.2021,name,political_instability.2017,political_instability.2021,population.2018,primary_school_aged_kids_out.2018,primary_school_aged_kids_out.2021,region,regulatory_quality.2017,regulatory_quality.2021,rule_of_law.2017,rule_of_law.2021,seda.2018,unemployment.2018,unemployment.2021
0.16,0.498,0.478,640e0b1661fc7dcab609c597,97.7,-1.52,-1.14,1.19,-2.35,3.2,3.21,86.1,82.8,undefined,,-1.3,-1.6,26.3,2.2,undefined,20.2,29.4,65.8,3.37,3.2,3.21,60.8,AFG,undefined,Afghanistan,-2.78,-2.53,36000000,undefined,undefined,Southern Asia,-1.3,-1.3,-1.57,-1.871,undefined,8.5,13.28
1.69,0.785,0.796,640e0b1661fc7dcab609c598,100,-0.42,-0.56,4.02,8.54,undefined,3.1,100.0,100.0,24.4,29,0.1,0,30.1,39.9,35.6,36.8,51,undefined,3.61,undefined,3.92,2.4,ALB,1.42,Albania,0.4,0.11,2900000,2.56,3.84,Southern Europe,0.2,0.2,-0.4,-0.256,53.1,16.3,11.82
3.98,0.754,0.745,640e0b1661fc7dcab609c599,99.8,-0.61,-0.61,1.1,3.85,5.87,6.1,0.3,1.1,16.7,35.3,-0.6,-0.6,42.5,29,30.1,33.3,46.5,248.2,6.51,5.87,6.1,11.6,DZA,5.59,Algeria,-0.96,-0.88,41000000,0.35,0.18,Northern Africa,-1.2,-1.2,-0.86,-0.816,45.8,11.2,12.7
0.79,0.581,0.586,640e0b1661fc7dcab609c59a,46.9,-1.41,-0.66,-1.32,0.7,2.04,2.42,54.5,68.2,13.9,42.7,-1,-1.1,32.1,18.9,20.6,undefined,undefined,71.3,2.47,2.04,1.93,8.8,AGO,1.13,Angola,-0.29,-0.71,30000000,undefined,undefined,Sub-Saharan Africa,-1,-0.7,-1.1,-0.952,28.4,6.6,8.53
3.74,0.825,0.842,640e0b1661fc7dcab609c59b,100,-0.26,-0.4,-2.62,10.26,4.88,4.72,30.7,27.1,28.6,41.7,0.2,-0.4,38.5,32.6,45.1,35.2,50,946,5.45,4.88,4.72,9.7,ARG,0.57,Argentina,0.18,-0.11,44000000,0.4,0.42,Latin America and the Caribbean,-0.3,-0.6,-0.25,-0.462,57.3,6.6,10.9
2.09,0.755,0.759,640e0b1661fc7dcab609c59c,100,-0.56,0.07,5.2,5.7,2.26,2.71,29.6,24.6,26.6,31.5,-0.1,-0.2,25.8,40.5,50.8,25.7,54.7,524,2.71,2.26,2.56,undefined,ARM,4.44,Armenia,-0.71,-0.84,3000000,6.91,10.48,Western Asia,0.3,0.1,-0.16,-0.096,51.7,16.8,20.9
15.24,0.939,0.951,640e0b1661fc7dcab609c59d,100,1.8,1.74,2.87,1.48,5.12,undefined,14.4,24.6,47.1,30.3,1.5,1.5,36,77.4,87,21.2,43.1,5427.5,5.14,5.12,undefined,3,AUS,1.98,Australia,0.9,0.85,25000000,0.43,1.46,Australia and New Zealand,1.9,1.8,1.68,1.674,78.9,5.7,5.11
7.29,0.908,0.916,640e0b1661fc7dcab609c59e,100,1.53,1.27,2.5,4.48,5.22,undefined,80.0,83.9,50.2,30.5,1.5,1.6,51.8,73.5,82.9,30.5,46.8,5242.2,5.37,5.22,undefined,17.3,AUT,0.80,Austria,1.04,0.91,9000000,0.04,0.06,Western Europe,1.4,1.3,1.81,1.788,80.3,6.1,6.3
3.54,0.757,0.745,640e0b1661fc7dcab609c59f,100,-0.88,-0.83,1.5,5.6,2.46,2.68,7.8,12.3,21.4,33.7,-0.2,0.2,36.8,39.9,28.6,undefined,48,193.1,2.47,2.46,2.68,38.6,AZE,5.27,Azerbaijan,-0.76,-0.85,10000000,3.89,10.46,Western Asia,-0.3,-0.1,-0.56,-0.585,51.1,5.1,6.58
7.29,0.807,0.812,640e0b1661fc7dcab609c5a0,100,1.17,1.18,1.83,13.72,2.25,2.78,0.0,0.0,undefined,,0.6,0.5,23.8,50.9,64.3,undefined,undefined,2004.6,2.42,2.25,2.29,4.9,BHS,undefined,Bahamas,1,0.88,400000,undefined,undefined,Latin America and the Caribbean,0.1,0.1,0.19,0.102,60.4,15.3,13.24
20.27,0.846,0.875,640e0b1661fc7dcab609c5a1,100,-0.14,0.17,2.11,2.23,2.37,2.15,1.3,1.5,27.9,,0.2,0.7,33.4,51.8,41.6,undefined,33.6,940.4,2.32,2.37,2.09,10.5,BHR,3.56,Bahrain,-0.95,-0.51,1300000,1.04,2.34,Western Asia,0.4,0.8,0.45,0.471,63.9,1.3,1.87
0.56,0.608,0.661,640e0b1661fc7dcab609c5a2,96.2,-0.83,-0.96,7.32,6.94,undefined,1.33,undefined,3.9,19.7,32.1,-0.7,-0.6,13.9,21.2,22.2,38.4,54.5,45.9,undefined,undefined,1.33,5.1,BGD,1.27,Bangladesh,-1.25,-0.97,165000000,undefined,undefined,Southern Asia,-0.8,-0.8,-0.67,-0.611,35.3,4.1,5.23
4.36,0.8,0.79,640e0b1661fc7dcab609c5a3,100,1.42,1.24,-1.03,1.4,5.43,6.45,1.0,3.3,undefined,,0.8,0.5,45,53.8,68.7,undefined,undefined,1143.3,4.37,5.43,3.2,9.6,BRB,undefined,Barbados,0.98,1.12,300000,1.61,2.65,Latin America and the Caribbean,0.5,0.6,0.66,0.375,60.8,11.4,10.41
6.12,0.808,0.808,640e0b1661fc7dcab609c5a4,100,-0.26,-0.24,3.15,2.51,5.38,4.95,23.8,29.8,27.5,26.5,-0.4,-0.8,41.7,42,43.7,21.7,42.9,399.4,4.79,5.38,4.98,10,BLR,1.16,Belarus,0.03,-0.74,10000000,1.3,5.24,Eastern Europe,-0.7,-0.9,-0.82,-1.1,59.9,0.5,4.74
8.1,0.916,0.937,640e0b1661fc7dcab609c5a5,100,1.5,1.48,1.84,6.24,6.38,undefined,95.2,52.0,46.9,25.9,1.2,1.1,54.1,70.9,83.6,23.7,42.5,4960.4,6.43,6.38,undefined,56.5,BEL,1.08,Belgium,0.42,0.61,11000000,0.52,0.89,Western Europe,1.2,1.3,1.34,1.326,77.5,8.3,6.42
1.64,0.708,0.683,640e0b1661fc7dcab609c5a6,97.1,-0.27,-0.3,2.04,9.75,7.47,8.71,2.6,3.2,undefined,,-0.6,-0.5,33.9,34.7,38.1,33.8,undefined,293.4,7.45,7.47,7.14,undefined,BLZ,1.25,Belize,0.05,0.46,400000,0.66,0.15,Latin America and the Caribbean,-0.5,-0.4,-0.96,-0.778,48.5,11,8.22
0.62,0.515,0.525,640e0b1661fc7dcab609c5a7,41.4,-0.55,-0.15,6.7,6.6,2.93,3,undefined,undefined,14.6,36.5,-0.6,-0.2,21.9,30.2,40.3,13.4,41.4,29.1,3.54,2.93,2.97,52.8,BEN,0.56,Benin,0.05,-0.3,11000000,2.79,6.72,Sub-Saharan Africa,-0.5,-0.4,-0.62,-0.594,34.5,1,1.57
